=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.21 16:21:41 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
Gyro range set to: +- 500 deg/s
Filter bandwidth set to: 21 Hz

y_accel | z_accel | gyro_x | cumError | outPWM
0.03 -0.07 -0.09 0.07 27
0.06 -0.06 -0.10 0.00 27
0.07 -0.07 -0.11 0.00 30
0.06 -0.08 -0.12 0.00 33
0.02 -0.09 -0.13 0.01 37
-0.05 -0.10 -0.14 0.01 40
-0.12 -0.11 -0.14 0.02 45
-0.20 -0.09 -0.14 0.04 50
-0.36 -0.10 -0.13 0.07 55
-0.46 -0.09 -0.11 0.11 58
-0.41 -0.07 -0.09 0.15 59
-0.41 -0.07 -0.07 0.06 55
-0.46 -0.08 -0.04 0.08 56
-0.58 -0.13 0.01 0.08 49
-0.52 -0.14 0.05 0.08 42
-0.38 -0.11 0.06 0.07 40
-0.21 -0.13 0.05 0.09 45
-0.09 -0.12 0.03 0.08 49
0.01 -0.09 0.02 0.08 49
0.04 -0.07 0.00 0.07 50
0.09 -0.07 -0.02 0.07 52
0.10 -0.09 -0.04 0.08 54
0.10 -0.10 -0.05 0.06 54
0.08 -0.10 -0.06 0.06 54
0.07 -0.09 -0.07 0.04 54
0.06 -0.09 -0.08 0.05 55
0.00 -0.09 -0.09 0.05 56
-0.06 -0.09 -0.09 0.05 58
-0.07 -0.07 -0.10 0.10 61
-0.11 -0.05 -0.11 0.16 67
-0.23 -0.04 -0.11 0.22 72
-0.32 -0.06 -0.09 0.28 72
-0.38 -0.07 -0.06 0.07 63
-0.38 -0.09 -0.03 0.08 58
-0.33 -0.10 0.01 0.06 51
-0.22 -0.10 0.03 0.08 47
-0.24 -0.09 0.03 0.08 47
-0.31 -0.09 0.04 0.08 46
-0.29 -0.10 0.04 0.10 47
-0.15 -0.10 0.04 0.08 47
0.00 -0.08 0.02 0.08 48
0.09 -0.09 0.01 0.07 46
0.10 -0.08 0.00 0.07 44
0.08 -0.07 -0.01 0.05 45
0.24 -0.05 -0.03 0.05 44
0.33 -0.06 -0.05 0.04 44
0.32 -0.07 -0.08 0.04 44
0.30 -0.08 -0.11 0.03 47
0.15 -0.08 -0.13 0.05 52
-0.01 -0.10 -0.13 0.08 55
-0.17 -0.10 -0.13 0.11 59
-0.30 -0.09 -0.11 0.15 60
-0.26 -0.07 -0.09 0.19 58
-0.29 -0.09 -0.06 0.04 49
-0.18 -0.14 -0.02 0.05 41
-0.08 -0.12 -0.00 0.06 35
-0.00 -0.09 0.00 0.05 32
0.06 -0.07 -0.01 0.05 34
-0.01 -0.07 -0.02 0.04 34
-0.01 -0.08 -0.02 0.04 34
0.07 -0.08 -0.03 0.04 33
0.14 -0.07 -0.05 0.03 36
0.20 -0.05 -0.08 0.02 40
0.18 -0.05 -0.10 0.03 43
0.15 -0.06 -0.11 0.05 45
0.13 -0.08 -0.12 0.07 47
0.10 -0.09 -0.13 0.09 50
0.08 -0.09 -0.13 0.11 49
-0.07 -0.10 -0.12 0.13 50
-0.28 -0.14 -0.09 0.15 46
-0.32 -0.15 -0.04 0.03 33
-0.29 -0.11 0.00 0.04 26
-0.17 -0.08 0.03 0.05 20
0.07 -0.02 0.02 0.03 18
0.12 -0.00 -0.00 0.03 22
0.07 -0.03 -0.03 0.03 26
0.05 -0.05 -0.04 0.03 28
0.02 -0.09 -0.04 0.03 29
0.05 -0.06 -0.05 0.02 30
0.09 -0.04 -0.07 0.02 35
0.06 -0.02 -0.10 0.03 41
-0.01 -0.01 -0.11 0.05 45
0.04 -0.05 -0.11 0.07 46
0.03 -0.10 -0.12 0.09 48
-0.08 -0.11 -0.11 0.11 48
-0.11 -0.10 -0.09 0.14 46
-0.06 -0.08 -0.07 0.03 37
0.00 -0.08 -0.06 0.03 34
0.02 -0.11 -0.04 0.03 28
0.07 -0.11 -0.03 0.03 25
0.10 -0.10 -0.04 0.02 26
0.05 -0.08 -0.06 0.02 29
0.03 -0.08 -0.07 0.02 30
0.07 -0.08 -0.08 0.02 32
0.09 -0.08 -0.08 0.02 33
0.08 -0.08 -0.09 0.01 35
0.07 -0.07 -0.11 0.01 38
0.03 -0.07 -0.12 0.03 42
-0.01 -0.06 -0.12 0.05 44
-0.08 -0.06 -0.11 0.07 44
-0.14 -0.08 -0.09 0.09 42
-0.18 -0.08 -0.07 0.03 35
-0.17 -0.07 -0.04 0.02 32
-0.02 -0.06 -0.04 0.03 29
0.16 -0.06 -0.05 0.03 30
0.20 -0.06 -0.07 0.02 32
0.14 -0.08 -0.08 0.02 33
0.08 -0.10 -0.08 0.02 33
0.05 -0.11 -0.09 0.02 34
-0.01 -0.09 -0.10 0.02 36
-0.01 -0.06 -0.10 0.02 38
0.01 -0.06 -0.10 0.03 40
0.03 -0.08 -0.10 0.05 41
-0.03 -0.08 -0.10 0.07 41
-0.12 -0.08 -0.08 0.10 40
-0.12 -0.07 -0.06 0.02 33
-0.14 -0.07 -0.04 0.03 30
-0.12 -0.05 -0.02 0.03 24
0.01 -0.04 -0.01 0.03 21
0.09 -0.03 -0.02 0.02 23
0.06 -0.04 -0.04 0.02 26
0.06 -0.05 -0.05 0.02 26
0.11 -0.07 -0.05 0.02 27
0.19 -0.06 -0.07 0.02 26
0.15 -0.07 -0.07 0.01 27
0.09 -0.10 -0.07 0.01 26
0.08 -0.10 -0.07 0.01 25
0.06 -0.10 -0.08 0.01 25
0.05 -0.08 -0.08 0.01 25
0.05 -0.08 -0.08 0.01 25
0.04 -0.09 -0.08 0.01 25
0.05 -0.10 -0.08 0.01 25
0.07 -0.10 -0.08 0.01 25
0.09 -0.09 -0.08 0.00 25
0.09 -0.09 -0.08 0.00 25
0.08 -0.10 -0.09 0.00 25
0.10 -0.06 -0.09 0.00 24
0.10 -0.02 -0.09 0.00 23
0.10 0.01 -0.09 -0.00 23
0.11 -0.07 -0.09 -0.00 22
0.11 -0.16 -0.09 -0.00 21
0.11 -0.17 -0.08 -0.00 20
0.12 -0.10 -0.08 -0.01 19
0.12 -0.04 -0.08 -0.01 18
0.12 -0.03 -0.09 -0.01 18
0.13 -0.02 -0.09 -0.01 17
0.13 -0.07 -0.09 -0.01 17
0.14 -0.05 -0.09 -0.01 17
0.15 -0.08 -0.10 -0.02 17
0.15 -0.08 -0.10 -0.01 17
0.14 -0.05 -0.10 -0.03 17
0.13 -0.02 -0.11 -0.04 17
0.12 -0.03 -0.11 -0.06 17
0.12 -0.06 -0.11 -0.08 17
0.13 -0.06 -0.12 -0.09 17
0.13 -0.07 -0.12 -0.11 16
0.10 -0.06 -0.12 -0.13 16
0.09 -0.05 -0.12 -0.15 15
0.08 -0.05 -0.12 -0.16 15
0.07 -0.06 -0.11 -0.18 15
0.08 -0.06 -0.11 -0.19 14
0.07 -0.05 -0.11 -0.20 14
0.09 -0.04 -0.11 -0.22 14
0.08 -0.04 -0.11 -0.23 14
0.08 -0.05 -0.11 -0.24 14
0.08 -0.05 -0.11 -0.26 14
0.08 -0.06 -0.11 -0.27 14
0.08 -0.07 -0.12 -0.28 14
0.05 -0.06 -0.12 -0.29 15
0.05 -0.07 -0.12 -0.29 16
0.05 -0.07 -0.12 -0.30 17
0.03 -0.08 -0.12 -0.31 17
0.03 -0.09 -0.12 -0.31 18
0.03 -0.08 -0.12 -0.31 19
0.03 -0.09 -0.12 -0.32 20
0.02 -0.09 -0.12 -0.32 20
0.02 -0.08 -0.11 -0.32 20
0.02 -0.08 -0.11 -0.31 20
0.01 -0.10 -0.11 -0.31 20
0.04 -0.09 -0.11 -0.31 20
0.03 -0.09 -0.10 -0.30 20
0.04 -0.09 -0.10 -0.30 19
0.03 -0.09 -0.10 -0.29 19
0.04 -0.08 -0.10 0.01 29
0.05 -0.07 -0.09 0.01 29
0.04 -0.08 -0.09 0.00 29
0.05 -0.08 -0.09 0.01 29
0.07 -0.07 -0.09 0.01 28
0.06 -0.06 -0.09 0.01 28
0.06 -0.07 -0.09 0.00 28
0.06 -0.07 -0.09 0.00 28
0.05 -0.06 -0.10 0.01 29
0.06 -0.05 -0.10 0.00 29
0.08 -0.06 -0.10 0.00 28
0.08 -0.06 -0.10 0.00 28
0.06 -0.08 -0.10 0.00 28
0.06 -0.08 -0.10 0.00 28
0.05 -0.08 -0.10 0.00 28
0.05 -0.08 -0.10 0.00 28
0.03 -0.09 -0.10 0.01 28
0.05 -0.09 -0.09 0.00 28
0.06 -0.08 -0.09 0.00 28
0.05 -0.06 -0.09 0.00 27
0.05 -0.07 -0.09 0.00 27
0.05 -0.07 -0.09 0.00 27
0.06 -0.08 -0.09 0.00 27
0.05 -0.07 -0.09 0.00 27
0.06 -0.06 -0.09 0.00 27
0.07 -0.07 -0.10 0.00 28
0.08 -0.07 -0.10 0.00 27
0.08 -0.07 -0.10 0.00 27
0.07 -0.07 -0.10 0.00 27
0.08 -0.06 -0.10 0.00 27
0.09 -0.06 -0.10 0.00 27
0.09 -0.06 -0.10 0.00 26
0.09 -0.06 -0.10 -0.00 26
0.09 -0.07 -0.10 -0.00 26
0.08 -0.08 -0.10 -0.00 26
0.09 -0.10 -0.10 -0.00 25
0.09 -0.11 -0.10 -0.00 25
0.09 -0.12 -0.10 -0.00 25
0.09 -0.10 -0.10 -0.00 25
0.09 -0.09 -0.10 -0.01 25
0.08 -0.07 -0.10 -0.01 25
0.06 -0.05 -0.10 -0.01 25
0.07 -0.04 -0.10 -0.02 25
0.07 -0.05 -0.11 -0.02 26
0.07 -0.04 -0.11 -0.02 27
0.08 -0.04 -0.11 -0.02 27
0.07 -0.05 -0.11 -0.03 27
0.06 -0.04 -0.11 -0.03 27
0.06 -0.03 -0.11 -0.03 28
0.04 -0.03 -0.11 -0.03 28
0.03 -0.03 -0.11 -0.03 29
0.04 -0.04 -0.11 -0.03 29
0.03 -0.03 -0.11 -0.02 29
0.01 -0.04 -0.10 -0.02 29
0.02 -0.05 -0.10 -0.02 29
0.01 -0.06 -0.10 -0.01 29
0.04 -0.07 -0.10 0.01 29
0.07 -0.07 -0.09 0.00 28
0.07 -0.06 -0.09 0.00 27
0.05 -0.06 -0.09 0.01 28
0.04 -0.08 -0.09 0.01 28
0.06 -0.08 -0.09 0.00 28
0.07 -0.06 -0.10 0.00 28
0.08 -0.06 -0.10 0.00 28
0.07 -0.07 -0.10 0.00 29
0.06 -0.05 -0.10 0.00 29
0.06 -0.05 -0.10 0.01 29
0.05 -0.06 -0.10 0.01 30
0.06 -0.07 -0.10 0.01 29
0.05 -0.06 -0.10 0.02 29
0.05 -0.06 -0.10 0.00 28
0.06 -0.08 -0.09 0.00 27
0.10 -0.08 -0.09 0.00 26
0.07 -0.07 -0.09 0.00 27
0.03 -0.07 -0.09 0.00 27
0.05 -0.09 -0.09 0.00 27
0.06 -0.07 -0.10 0.00 27
0.06 -0.07 -0.09 0.00 27
0.06 -0.07 -0.09 0.00 27
0.07 -0.08 -0.10 0.00 27
0.06 -0.07 -0.10 0.00 27
0.08 -0.07 -0.10 0.00 27
0.06 -0.07 -0.10 0.00 27
0.07 -0.07 -0.10 0.00 27
0.07 -0.06 -0.10 0.00 28
0.07 -0.07 -0.10 0.00 28
0.06 -0.07 -0.10 0.00 28
0.06 -0.06 -0.10 0.01 28
0.07 -0.04 -0.10 0.01 27
0.09 -0.04 -0.09 0.00 25
0.13 -0.03 -0.09 -0.00 23
0.12 -0.05 -0.09 -0.00 23
0.08 -0.05 -0.09 -0.00 23
0.06 -0.07 -0.09 -0.00 22
0.07 -0.05 -0.10 -0.00 24
0.05 -0.05 -0.10 -0.00 25
